id,name,common_name,active_substance,therapeutic_area,group
1584,ViraferonPeg,peginterferon alfa-2b,peginterferon alfa-2b,"Hepatitis C, Chronic",Immunostimulants
1585,Qutavina,teriparatide,teriparatide,Osteoporosis,Calcium homeostasis
1586,Puldysa,idebenone,idebenone;titanium dioxide,"Muscular Dystrophy, Duchenne",Psychoanaleptics
1587,Jetrea,ocriplasmin,ocriplasmin,Retinal Diseases,Ophthalmologicals
1588,Sebivo,telbivudine,telbivudine,"Hepatitis B, Chronic",Nucleoside and nucleotide reverse transcriptase inhibitors
1589,Panretin,alitretinoin,alitretinoin,"Sarcoma, Kaposi",Antineoplastic agents
1590,Livogiva,teriparatide,teriparatide,Osteoporosis,Calcium homeostasis
1591,Turalio,Pexidartinib,Pexidartinib,"Giant Cell Tumor of Tendon Sheath;Synovitis, Pigmented Villonodular",Antineoplastic agents
1592,Kinzalmono (previously Telmisartan Boehringer Ingelheim Pharma KG),telmisartan,Telmisartan,Hypertension,Agents acting on the renin-angiotensin system
1593,Artobend,autologous human chondrocytes in vitro expanded,autologous human chondrocytes in vitro expanded,"Fractures, Cartilage",Other drugs for disorders of the musculo-skeletal system
1594,Pritor,telmisartan,Telmisartan,Hypertension,Agents acting on the renin-angiotensin system
1595,Alpivab,peramivir,Peramivir,"Influenza, Human",Antivirals for systemic use
1596,Silapo,epoetin zeta,epoetin zeta,"Anemia;Blood Transfusion, Autologous;Cancer;Kidney Failure, Chronic",Antianemic preparations
1597,Insulatard,insulin human (rDNA),Insulin human,Diabetes Mellitus,Drugs used in diabetes
1598,Ribavirin Mylan (previously Ribavirin Three Rivers),ribavirin,Ribavirin,"Hepatitis C, Chronic",Antivirals for systemic use
1599,Zoledronic acid medac,zoledronic acid,zoledronic acid monohydrate,"Fractures, Bone;Cancer",Drugs for treatment of bone diseases
1600,Memantine LEK,memantine,memantine hydrochloride,Alzheimer Disease,Psychoanaleptics;Other anti-dementia drugs
1601,Roctavian,Valoctocogene roxaparvovec,Valoctocogene roxaparvovec,Hemophilia A,Antihemorrhagics
1602,Vepacel,"Prepandemic influenza vaccine (H5N1) (whole virion, inactivated,prepared in cell culture)","Influenza virus (whole virion, inactivated), containing antigen of: A/Vietnam/1203/2004 (H5N1)","Influenza, Human;Immunization;Disease Outbreaks",Influenza vaccines
1603,Upkanz,deferiprone,Deferiprone,Pantothenate Kinase-Associated Neurodegeneration,All other therapeutic products
1604,Protaphane,insulin human (rDNA),Insulin human,Diabetes Mellitus,Drugs used in diabetes
1605,Abilify MyCite,aripiprazole,aripiprazole,Schizophrenia;Bipolar Disorder,aripiprazole
1606,Rayoqta,,abicipar pegol,Macular Degeneration,Ophthalmologicals;Antineovascularisation agents
1607,Actrapid,human insulinÿ(rDNA),human insulin,Diabetes Mellitus,Drugs used in diabetes
1608,Zerit,stavudine,stavudine,HIV Infections,Antivirals for systemic use
1609,Qtrilmet,metformin hydrochloride;saxagliptin;dapagliflozin,metformin hydrochloride;Saxagliptin;dapagliflozin,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1610,Lumark,lutetium (177 Lu) chloride,lutetium (177Lu) chloride,Radionuclide Imaging,Therapeutic radiopharmaceuticals
1611,Sondelbay,teriparatide,teriparatide,Osteoporosis,Calcium homeostasis
1612,Visudyne,verteporfin,verteporfin,"Myopia, Degenerative;Macular Degeneration",Ophthalmologicals
1613,Xiidra,,Lifitegrast,Dry Eye Syndromes,Ophthalmologicals
1614,Duzallo,allopurinol;lesinurad,allopurinol;lesinurad,Gout,Antigout preparations
1615,Olazax,olanzapine,olanzapine,Schizophrenia;Bipolar Disorder,Psycholeptics
1616,Zurampic,lesinurad,lesinurad,Hyperuricemia,Antigout preparations
1617,Picato,ingenol mebutate,Ingenol mebutate,"Keratosis, Actinic",Antibiotics and chemotherapeutics for dermatological use;Other chemotherapeutics
1618,Doxorubicin Hydrochloride Tillomed,doxorubicin,doxorubicin hydrochloride,"Breast Neoplasms;Ovarian Neoplasms;Multiple Myeloma;Sarcoma, Kaposi",Antineoplastic agents
1619,Kolbam,cholic acid,cholic acid,"Metabolism, Inborn Errors",Bile and liver therapy
1620,Zemdri,,Plazomicin (sulfate),Urinary Tract Infections;Pyelonephritis,
1621,Rituximab Mabion,rituximab,rituximab,"Lymphoma, Non-Hodgkin;Leukemia, Lymphocytic, Chronic, B-Cell;Arthritis, Rheumatoid;Microscopic Polyangiitis",Antineoplastic agents
1622,Fertavid,follitropin beta,follitropin beta,Infertility;Hypogonadism,Sex hormones and modulators of the genital system
1623,Fingolimod Mylan,fingolimod,fingolimod hydrochlorideÿ,"Multiple Sclerosis, Relapsing-Remitting",Immunosuppressants
1624,Olazax Disperzi,olanzapine,olanzapine,Schizophrenia;Bipolar Disorder,Psycholeptics
1625,Helixate NexGen,octocog alfa,Octocog alfa,Hemophilia A,Antihemorrhagics
1626,Osseor,strontium ranelate,strontium ranelate,"Osteoporosis, Postmenopausal",Drugs for treatment of bone diseases
1627,Vynpenta (previously AvacopanChemoCentryx),,Avacopan,,Immunosuppressants
1628,Protelos,strontium ranelate,strontium ranelate,"Osteoporosis, Postmenopausal",Drugs for treatment of bone diseases
1629,Kromeya,adalimumab,adalimumab,"Arthritis, Rheumatoid;Arthritis, Juvenile Rheumatoid;Psoriasis;Arthritis, Psoriatic;Spondylitis, Ankylosing;Uveitis;Colitis, Ulcerative;Crohn Disease",Immunosuppressants
1630,Clopidogrel BGR (previously Zylagren),clopidogrel,clopidogrel (as hydrogen sulfate),Peripheral Vascular Diseases;Stroke;Myocardial Infarction,Antithrombotic agents
1631,Ekesivy,,Diclofenamide,"Paralyses, Familial Periodic",Ophthalmologicals
1632,Kuvan,sapropterin,Sapropterin dihydrochloride,Phenylketonurias,Other alimentary tract and metabolism products
1633,Xiapex,collagenase Clostridium histolyticum,collagenase Clostridium histolyticum,Dupuytren Contracture,Other drugs for disorders of the musculo-skeletal system
1634,Varuby,rolapitant,rolapitant,Vomiting;Nausea;Cancer,Antiemetics and antinauseants
1635,Lifmior,etanercept,etanercept,"Arthritis, Psoriatic;Spondylitis, Ankylosing;Psoriasis",Immunosuppressants
1636,Iblias,octocog alfa,Octocog alfa,Hemophilia A,Antihemorrhagics
1637,Nonafact,human coagulation factor IX,human coagulation factor IX,Hemophilia B,Antihemorrhagics
1638,Zalmoxis,allogeneic T cells genetically modified with a retroviral vector encoding for a truncated form of the human low affinity nerve growth factor receptor (?LNGFR) and the herpes simplex I virus thymidine kinase (HSV-TK Mut2),Allogeneic T cells genetically modified with a retroviral vector encoding for a truncated form of the human low affinity nerve growth factor receptor (?LNGFR) and the herpes simplex I virus thymidine kinase (HSV-TK Mut2),Hematopoietic Stem Cell Transplantation;Graft vs Host Disease,Antineoplastic agents
1639,Fexeric,ferric citrate coordination complex,ferric citrate coordination complex,Hyperphosphatemia;Renal Dialysis,
1640,Aerivio Spiromax,salmeterol;fluticasone propionate,salmeterol xinafoate;fluticasone propionate,"Pulmonary Disease, Chronic Obstructive;Asthma",Drugs for obstructive airway diseases
1641,Vanflyta,quizartinib,quizartinib dihydrochloride,"Leukemia, Myeloid, Acute",Antineoplastic agents
1642,Clopidogrel/Acetylsalicylic acid Zentiva (previously DuoCover),clopidogrel;acetylsalicylic acid,clopidogrel;Acetylsalicylic acid,Acute Coronary Syndrome;Myocardial Infarction,Antithrombotic agents
1643,Thorinane,enoxaparin sodium,enoxaparin sodium,Venous Thromboembolism,Antithrombotic agents
1644,Imatinib medac,imatinib,imatinib,"Precursor Cell Lymphoblastic Leukemia-Lymphoma;Dermatofibrosarcoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Myelodysplastic-Myeloproliferative Diseases;Hypereosinophilic Syndrome",Protein kinase inhibitors
1645,Taxespira (previously Docetaxel Hospira UK Limited ),docetaxel,docetaxel trihydrate,"Stomach Neoplasms;Prostatic Neoplasms;Breast Neoplasms;Head and Neck Neoplasms;Carcinoma, Non-Small-Cell Lung",Antineoplastic agents
1646,Lartruvo,olaratumab,Olaratumab,Sarcoma,Antineoplastic agents
1647,Daklinza,daclatasvir,daclatasvir dihydrochloride,"Hepatitis C, Chronic",Antivirals for systemic use
1648,Doxolipad,doxorubicin,doxorubicin hydrochloride,Breast Neoplasms;Ovarian Neoplasms,Antineoplastic agents
1649,Vedrop,tocofersolan,tocofersolan,Cholestasis;Vitamin E Deficiency,Vitamins
1650,Radicava,,edaravone,Amyotrophic Lateral Sclerosis,Other nervous system drugs
1651,Cabazitaxel Teva,cabazitaxel,cabazitaxel,Prostatic Neoplasms,Antineoplastic agents
1652,Rituzena (previously Tuxella),rituximab,rituximab,"Lymphoma, Non-Hodgkin;Microscopic Polyangiitis;Leukemia, Lymphocytic, Chronic, B-Cell;Wegener Granulomatosis",Antineoplastic agents
1653,ATryn,antithrombin alfa,Antithrombin alfa,Antithrombin III Deficiency,Antithrombotic agents
1654,Airexar Spiromax,salmeterol xinafoate;fluticasone propionate,salmeterol;fluticasone propionate,"Pulmonary Disease, Chronic Obstructive;Asthma",Drugs for obstructive airway diseases
1655,ABP 710,infliximab,infliximab,,Immunosuppressants
1656,Ketek,telithromycin,telithromycin,"Sinusitis;Tonsillitis;Bronchitis, Chronic;Pharyngitis;Community-Acquired Infections;Pneumonia, Bacterial",Antibacterials for systemic use
1657,Wilzin,zinc,zinc,Hepatolenticular Degeneration,Other alimentary tract and metabolism products
1658,Ambrisentan Zentiva,ambrisentan,ambrisentan,"Hypertension, Pulmonary",Antihypertensives
1659,Arzerra,ofatumumab,Ofatumumab,"Leukemia, Lymphocytic, Chronic, B-Cell",Monoclonal antibodies
1660,Canakinumab Novartis,canakinumab,Canakinumab,Acute Coronary Syndrome;Myocardial Infarction;Stroke,Immunosuppressants
1661,Efgratin,pegfilgrastim,pegfilgrastim,Neutropenia,Immunostimulants
1662,Cavoley,pegfilgrastim,pegfilgrastim,Neutropenia,Immunostimulants
1663,Silgard,"human papillomavirus vaccine [types 6, 11, 16, 18] (recombinant, adsorbed)",human papillomavirus type 6 L1 protein;human papillomavirus type 11 L1 protein;human papillomavirus type 16 L1 protein;human papillomavirus type 18 L1 protein,Papillomavirus Infections;Uterine Cervical Dysplasia;Condylomata Acuminata;Immunization,Vaccines
1664,Vantobra,tobramycin,Tobramycin,Cystic Fibrosis;Respiratory Tract Infections,Antibacterials for systemic use;Aminoglycoside antibacterials
1665,Altargo,retapamulin,retapamulin,Impetigo;Staphylococcal Skin Infections,Antibiotics and chemotherapeutics for dermatological use
1666,Topotecan Actavis,topotecan,topotecan,Uterine Cervical Neoplasms;Small Cell Lung Carcinoma,Antineoplastic agents
1667,Cyltezo,adalimumab,adalimumab,"Hidradenitis Suppurativa;Arthritis, Psoriatic;Psoriasis;Crohn Disease;Arthritis, Juvenile Rheumatoid;Uveitis;Arthritis, Rheumatoid;Colitis, Ulcerative;Spondylitis, Ankylosing",Immunosuppressants
1668,Solymbic,adalimumab,adalimumab,"Arthritis, Psoriatic;Spondylitis, Ankylosing;Crohn Disease;Colitis, Ulcerative;Hidradenitis Suppurativa;Psoriasis;Arthritis, Rheumatoid",Immunosuppressants
1669,Eperzan,albiglutide,Albiglutide,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1670,Eladynos,abaloparatide,abaloparatide,Osteoporosis,Calcium homeostasis
1671,Graspa,asparaginase,asparaginase,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Antineoplastic agents
1672,Lusduna,insulin glargine,insulin glargine,Diabetes Mellitus,Drugs used in diabetes
1673,Cyanokit,hydroxocobalamin,hydroxocobalamin,Poisoning,All other therapeutic products
1674,Ivabradine JensonR,ivabradine,ivabradine hydrochloride,Angina Pectoris;Heart Failure,Cardiac therapy
1675,Fyzoclad,adalimumab,adalimumab,"Arthritis, Rheumatoid;Arthritis, Juvenile Rheumatoid;Psoriasis;Arthritis, Psoriatic;Spondylitis, Ankylosing;Uveitis",Immunosuppressants
1676,Entolimod TMC,,Entolimod,Acute Radiation Syndrome,Immunostimulants
1677,Exondys,eteplirsen,eteplirsen,"Muscular Dystrophy, Duchenne",Other drugs for disorders of the musculo-skeletal system
1678,Zoledronic acid Teva Pharma,zoledronic acid,zoledronic acid,"Osteoporosis;Osteitis Deformans;Osteoporosis, Postmenopausal",Drugs for treatment of bone diseases
1679,Trobalt,retigabine,retigabine,Epilepsy,Antiepileptics
1680,Ionsys,fentanyl,fentanyl hydrochloride,"Pain, Postoperative",Analgesics
1681,Raplixa,human fibrinogen;human thrombin,human fibrinogen;human thrombin,"Hemostasis, Surgical",Antihemorrhagics
1682,Imatinib Teva B.V.,imatinib,imatinib mesilate,"Dermatofibrosarcoma;Gastrointestinal Stromal Tumors;Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Antineoplastic agents
1683,Dexxience,betrixaban,betrixaban maleate,Venous Thromboembolism,Antithrombotic agents
1684,Treprostinil SciPharm S…rl,treprostinil,Treprostinil,"Hypertension, Pulmonary",Antithrombotic agents
1685,Angiox,bivalirudin,Bivalirudin,Acute Coronary Syndrome,Antithrombotic agents
1686,Intanza,"influenza vaccine (split virion, inactivated)","influenza virus (inactivated, split) of the following strains:A/California/7/2009 (H1N1)pdm09 - like strain (A/California/7/2009, NYMC X-179A)A/Hong Kong/4801/2014 (H3N2) - like strain (A/Hong Kong/4801/2014, NYMC X-263B)B/Brisbane/60/2008 - like strain (B/Brisbane/60/2008, wild type)","Influenza, Human;Immunization",Vaccines
1687,Numient,levodopa;carbidopa,levodopa;carbidopa,Parkinson Disease,Anti-Parkinson drugs
1688,Ariclaim,duloxetine,duloxetine,Diabetic Neuropathies,Psychoanaleptics
1689,Restaysis,ciclosporin,ciclosporin,Dry Eye Syndromes,Ophthalmologicals
1690,Clopidogrel HCS,clopidogrel,clopidogrel (as hydrochloride),Peripheral Vascular Diseases;Acute Coronary Syndrome;Myocardial Infarction;Stroke,Antithrombotic agents
1691,Victrelis,boceprevir,Boceprevir,"Hepatitis C, Chronic",Antivirals for systemic use
1692,Alsitek,masitinib,Masitinib mesilate,Amyotrophic Lateral Sclerosis,Antineoplastic agents
1693,Xeljanz,tofacitinib,Tofacitinib,"Arthritis, Rheumatoid",Immunosuppressants
1694,Topotecan Teva,topotecan,topotecan,Ovarian Neoplasms;Uterine Cervical Neoplasms;Small Cell Lung Carcinoma,Antineoplastic agents
1695,Rotigotine Mylan,rotigotine,rotigotine,Restless Legs Syndrome;Parkinson Disease,
1696,Maci,matrix-applied characterised autologous cultured chondrocytes,autologous cultured chondrocytes,"Fractures, Cartilage",Other drugs for disorders of the musculo-skeletal system
1697,Prohippur,,Sodium benzoate,"Urea Cycle Disorders, Inborn;Hyperglycinemia, Nonketotic",Other alimentary tract and metabolism products
1698,Zinbryta,daclizumab,daclizumab,Multiple Sclerosis,Immunosuppressants
1699,Fulphila,pegfilgrastim,pegfilgrastim,Neutropenia,Immunostimulants
1700,Olysio,simeprevir,simeprevir,"Hepatitis C, Chronic",Antivirals for systemic use
1701,Vibativ,telavancin,telavancin,"Pneumonia, Bacterial;Cross Infection",Antibacterials for systemic use
1702,Prandin,repaglinide,repaglinide,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1703,Insulin Human Winthrop,insulin human,Insulin human,Diabetes Mellitus,Drugs used in diabetes
1704,Litak,cladribine,Cladribine,"Leukemia, Hairy Cell",Antineoplastic agents
1705,Masipro,masitinib,Masitinib mesilate,Mastocytosis,Antineoplastic agents
1706,Evarrest,human fibrinogen;human thrombin,human fibrinogen;human thrombin,Hemostasis,Local hemostatics
1707,IDflu,"influenza vaccine (split virion, inactivated)","influenza virus (inactivated, split) of the following strains:A/California/7/2009 (H1N1)pdm09 - like strain (A/California/7/2009, NYMC X-179A)A/Hong Kong/4801/2014 (H3N2) - like strain (A/Hong Kong/4801/2014, NYMC X-263B)B/Brisbane/60/2008 - like strain (B/Brisbane/60/2008, wild type)","Influenza, Human;Immunization",Vaccines
1708,Balimek,binimetinib,binimetinib,Melanoma,Antineoplastic agents
1709,Tasermity,sevelamer hydrochloride,sevelamer hydrochloride,Hyperphosphatemia;Renal Dialysis,All other therapeutic products
1710,Fanaptum,iloperidone,iloperidone,Schizophrenia,Psycholeptics
1711,Ristempa,pegfilgrastim,pegfilgrastim,Neutropenia,Immunostimulants
1712,Infinia,,alpha-1-antitrypsin,"Genetic Diseases, Inborn;Lung Diseases",Antihemorrhagics
1713,LeukoScan,sulesomab,sulesomab,Osteomyelitis;Radionuclide Imaging,Diagnostic agents
1714,Libertek,roflumilast,roflumilast,"Pulmonary Disease, Chronic Obstructive",Drugs for obstructive airway diseases
1715,Daliresp,roflumilast,roflumilast,"Pulmonary Disease, Chronic Obstructive",Drugs for obstructive airway diseases
1716,Onzeald,etirinotecan pegol,etirinotecan pegol,Breast Neoplasms,Antineoplastic agents
1717,EnCyzix,enclomifene,enclomifene citrate,Hypogonadism,Sex hormones and modulators of the genital system
1718,Clopidogrel Acino,clopidogrel,clopidogrel,Peripheral Vascular Diseases;Acute Coronary Syndrome;Myocardial Infarction;Stroke,Antithrombotic agents
1719,Optimark,gadoversetamide,gadoversetamide,Magnetic Resonance Imaging,Contrast media
1720,Somatropin Biopartners,somatropin,somatropin,Growth,Somatropin and somatropin agonists;Pituitary and hypothalamic hormones and analogues
1721,Adlumiz,anamorelin,anamorelin hydrochloride,"Cachexia;Anorexia;Carcinoma, Non-Small-Cell Lung",All other therapeutic products
1722,Prevenar,"pneumococcal saccharide conjugated vaccine, adsorbed",pneumococcal oligosaccharide serotype 18C;Pneumococcal polysaccharide serotype 19F;Pneumococcal polysaccharide serotype 23F;Pneumococcal polysaccharide serotype 4;Pneumococcal polysaccharide serotype 6B;Pneumococcal polysaccharide serotype 9V;Pneumococcal polysaccharide serotype 14,Pneumococcal Infections;Immunization,Vaccines
1723,Human IGG1 monoclonal antibody specific for human interleukin-1 alpha XBiotech,human IgG1 monoclonal antibody specific for human interleukin-1 alpha,human IgG1 monoclonal antibody specific for human interleukin-1 alpha,Colorectal Neoplasms,Antineoplastic agents
1724,Plivensia,,sirukumab,"Arthritis, Rheumatoid",Immunosuppressants
1725,Kyomarc,bevacizumab,bevacizumab,"Carcinoma, Renal Cell;Carcinoma, Bronchogenic;Fallopian Tube Neoplasms;Breast Neoplasms;Ovarian Neoplasms;Peritoneal Neoplasms",Antineoplastic agents
1726,Glybera,alipogene tiparvovec,alipogene tiparvovec,Hyperlipoproteinemia Type I,Lipid modifying agents
1727,Clopidogrel Teva Pharma (previously Clopidogrel HCS),clopidogrel,clopidogrel (as hydrochloride),Myocardial Infarction;Peripheral Vascular Diseases;Stroke,Antithrombotic agents
1728,Tigecycline Accord,tigecycline,Tigecycline,Soft Tissue Infections,Antibacterials for systemic use
1729,NovoNorm,repaglinide,repaglinide,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1730,Zontivity,vorapaxar,vorapaxar sulfate,Myocardial Infarction,Antithrombotic agents
1731,Qinprezo,,vosaroxin,"Leukemia, Myeloid, Acute",Antineoplastic agents
1732,Removab,catumaxomab,Catumaxomab,Ascites;Cancer,Other antineoplastic agents
1733,Sabervel,irbesartan,irbesartan,Hypertension,Agents acting on the renin-angiotensin system
1734,Cavoley,pegfilgrastim,pegfilgrastim,Neutropenia,Immunostimulants
1735,Efgratin,pegfilgrastim,pegfilgrastim,Neutropenia,Immunostimulants
1736,Optaflu,"influenza vaccine (surface antigen, inactivated, prepared in cell cultures)","influenza virus surface antigens (haemagglutinin and neuraminidase), inactivated, of the following strains:A/California/7/2009 (H1N1)pdm09 - like strain(A/Brisbane/10/2010, wild type)A/Switzerland/9715293/2013 (H3N2) - like strain(A/South Australia/55/2014, wild type)B/Phuket/3073/2013?like strain(B/Utah/9/2014, wild type)","Influenza, Human;Immunization",Vaccines
1737,Solithromycin Triskel EU Services,,Solithromycin,Tularemia;Pneumonia;Anthrax,Antibacterials for systemic use
1738,Vitekta,elvitegravir,elvitegravir,HIV Infections,Antivirals for systemic use
1739,Blectifor,caffeine citrate,Caffeine citrate,Bronchopulmonary Dysplasia,Psychoanaleptics
1740,Imprida,amlodipine;valsartan,valsartan;amlodipine (as amlodipine besilate),Hypertension,Agents acting on the renin-angiotensin system
1741,Clopidogrel/Acetylsalicylic acid Teva,clopidogrel;acetylsalicylic acid,clopidogrel;Acetylsalicylic acid,Acute Coronary Syndrome;Myocardial Infarction,combinations
1742,Unituxin,dinutuximab,Dinutuximab,Neuroblastoma,Antineoplastic agents
1743,Dutrebis,lamivudine;raltegravir potassium,lamivudine;raltegravir potassium,HIV Infections,"Antivirals for systemic use;Antivirals for treatment of HIV infections, combinations"
1744,Zioxtenzo,pegfilgrastim,pegfilgrastim,Neutropenia,Immunostimulants
1745,Rasilamlo,aliskiren hemifumarate;amlodipine besilate,aliskiren;amlodipine,Hypertension,Agents acting on the renin-angiotensin system
1746,Alendronic Acid / Colecalciferol Mylan,,alendronate sodium trihydrate;colecalciferol,Osteoporosis,Drugs for treatment of bone diseases
1747,Budesonide/Formoterol Teva,budesonide;formoterol,Budesonide;formoterol fumarate dihydrate,"Pulmonary Disease, Chronic Obstructive;Asthma",Drugs for obstructive airway diseases
1748,Budesonide/Formoterol Teva Pharma B.V.,budesonide;formoterol fumarate dihydrate,Budesonide;formoterol,Asthma,Drugs for obstructive airway diseases
1749,Vylaer Spiromax,budesonide;formoterol,Budesonide;formoterol fumarate dihydrate,"Pulmonary Disease, Chronic Obstructive;Asthma",Drugs for obstructive airway diseases
1750,Biograstim,filgrastim,filgrastim,Neutropenia;Hematopoietic Stem Cell Transplantation;Cancer,Colony stimulating factors
1751,ChondroCelect,characterised viable autologous cartilage cells expanded ex vivo expressing specific marker proteins,characterised viable autologous cartilage cells expanded ex vivo expressing specific marker proteins,Cartilage Diseases,Other drugs for disorders of the musculo-skeletal system
1752,Capecitabine SUN,capecitabine,capecitabine,Stomach Neoplasms;Breast Neoplasms;Colonic Neoplasms;Colorectal Neoplasms,capecitabine
1753,Zemfirza,,cediranib maleate,Ovarian Neoplasms,Antineoplastic agents
1754,Pemetrexed ditromethamine Hospira,pemetrexed,pemetrexed ditromethamine,"Mesothelioma;Carcinoma, Non-Small-Cell Lung",Antineoplastic agents
1755,Celvapan,"influenza vaccine (H1N1)v (whole virion, Vero cell derived, inactivated)","Whole virion influenza vaccine, inactivated containing antigen of strain A/California/07/2009 (H1N1)v","Disease Outbreaks;Influenza, Human;Immunization",Vaccines
1756,Ertapenem Hospira,ertapenem,ertapenem sodium,Bacterial Infections,Antibacterials for systemic use
1757,Pantecta Control,pantoprazole,pantoprazole,Gastroesophageal Reflux,Proton pump inhibitors
1758,Arikayce,,Amikacin sulfate,Mycobacterium Infections,Antibacterials for systemic use
1759,Incivo,telaprevir,telaprevir,"Hepatitis C, Chronic",Antivirals for systemic use
1760,Opsiria,sirolimus,Sirolimus,Uveitis,Not assigned yet
1761,Zoledronic acid Teva Generics,zoledronic acid,zoledronic acid monohydrate,Osteoporosis;Osteitis Deformans,Bisphosphonates
1762,Osigraft,eptotermin alfa,eptotermin alfa,Tibial Fractures,Drugs for treatment of bone diseases;Bone morphogenetic proteins
1763,Dropcys,mercaptamine,mercaptamine,Corneal Diseases;Cystinosis,
1764,Krystexxa,pegloticase,pegloticase,Gout,Antigout preparations
1765,Begedina,,begelomab,Graft vs Host Disease;Hematopoietic Stem Cell Transplantation,Immunosuppressants
1766,Opgenra,eptotermin alfa,eptotermin alfa,Spondylolisthesis,Drugs for treatment of bone diseases
1767,Pandemrix,"influenza vaccine (H1N1)v (split virion, inactivated, adjuvanted)","split influenza virus inactivated, containing antigen equivalent to A/California/07/2009 (H1N1)-derived strain used NYMC X-179A","Influenza, Human;Immunization;Disease Outbreaks",Influenza vaccines
1768,Avandamet,rosiglitazone;metformin,rosiglitazone;metformin hydrochloride,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1769,Avandia,rosiglitazone,rosiglitazone,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1770,Repso,leflunomide,leflunomide,"Arthritis, Rheumatoid;Arthritis, Psoriatic",Immunosuppressants
1771,Foscan,temoporfin,temoporfin,"Head and Neck Neoplasms;Carcinoma, Squamous Cell",Antineoplastic agents
1772,Kepivance,palifermin,palifermin,Mucositis,All other therapeutic products
1773,Heparesc,human heterologous liver cells,Human heterologous liver cells,"Urea Cycle Disorders, Inborn",Other alimentary tract and metabolism products
1774,Aripiprazole Mylan,aripiprazole,aripiprazole,Schizophrenia,
1775,Nuedexta,dextromethorphan hydrobromide;quinidine sulfate,dextromethorphan;quinidine,Neurobehavioral Manifestations,Other nervous system drugs
1776,Paglitaz,pioglitazone,pioglitazone hydrochloride,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1777,"Prepandemic influenza vaccine (H5N1) (surface antigen, inactivated, adjuvanted) Novartis Vaccines and Diagnostics","prepandemic influenza vaccine (H5N1) (surface antigen, inactivated, adjuvanted)",influenza virus surface antigens (haemagglutinin and neuraminidase) of strain A/Viet Nam/1194/2004 (H5N1),"Influenza, Human;Immunization;Disease Outbreaks",Vaccines
1778,Solumarv,insulin human,Insulin human,Diabetes Mellitus,
1779,Focetria,"influenza vaccine H1N1v (surface antigen, inactivated, adjuvanted)",Influenza virus surface antigens (haemagglutinin and neuraminidase) of strain: A/California/7/2009 (H1N1)-derived strain used NYMC X-181,"Influenza, Human;Immunization;Disease Outbreaks",Influenza vaccines
1780,Nivolumab BMS,nivolumab,nivolumab,"Carcinoma, Non-Small-Cell Lung",Antineoplastic and immunomodulating agents;Monoclonal antibodies
1781,Veraseal,,human fibrinogen;human thrombin,"Hemostasis, Surgical",
1782,Sonata,zaleplon,zaleplon,Sleep Initiation and Maintenance Disorders,Psycholeptics
1783,Aripiprazole Mylan,aripiprazole,aripiprazole,Schizophrenia;Bipolar Disorder,
1784,Lympreva,dasiprotimut-t,dasiprotimut-t,"Lymphoma, Non-Hodgkin",
1785,Rienso,ferumoxytol,Ferumoxytol,"Anemia;Kidney Failure, Chronic",Other antianemic preparations
1786,Clopidogrel DURA,clopidogrel,clopidogrel (as hydrochloride),Peripheral Vascular Diseases;Stroke;Myocardial Infarction,Antithrombotic agents
1787,Corluxin,,mifepristone,Cushing Syndrome,
1788,Quadramet,samarium [153Sm] lexidronam pentasodium,samarium (153Sm) lexidronam pentasodium,Pain;Cancer,Therapeutic radiopharmaceuticals
1789,Ketoconazole AID-SCFM,ketoconazole,Ketoconazole,Cushing Syndrome,
1790,Provenge,autologous peripheral-blood mononuclear cells activated with prostatic acid phosphatase granulocyte-macrophage colony-stimulating factor (sipuleucel-T),autologous peripheral-blood mononuclear cells including a minimum of 50 million autologous CD54+ cells activated with prostatic acid phosphatase granulocyte-macrophage colony-stimulating factor,Prostatic Neoplasms,Other immunostimulants
1791,Duloxetine Sandoz,duloxetine,duloxetine,"Anxiety Disorders;Neuralgia;Diabetes Mellitus;Depressive Disorder, Major",
1792,BindRen,colestilan,colestilan,Hyperphosphatemia,
1793,Pumarix,"pandemic influenza vaccine (H5N1) (split virion, inactivated, adjuvanted)","pandemic influenza vaccine (H5N1) (split virion, inactivated, adjuvanted)ÿ","Influenza, Human;Immunization;Disease Outbreaks",Vaccines
1794,Docetaxel Mylan,docetaxel,docetaxel,"Head and Neck Neoplasms;Carcinoma, Non-Small-Cell Lung;Adenocarcinoma;Prostatic Neoplasms;Breast Neoplasms",Antineoplastic agents
1795,Imagify,,Perflubutane,Ultrasonography,
1796,Clopidogrel Teva Pharma B.V.,clopidogrel,clopidogrel (as hydrobromide),Peripheral Vascular Diseases;Acute Coronary Syndrome;Myocardial Infarction;Stroke,Antithrombotic agents
1797,Vistide,cidofovir,cidofovir,Cytomegalovirus Retinitis,Antivirals for systemic use
